,x,date
0,pos 1,19-Oct
1,pos 2,15-Oct
2,pos 3,16-Oct
3,pos 4,8-Sep
4,pos 5,16-Oct
5,pos 6,19-Oct
6,pos 7,15-Oct
7,pos 8,19-Oct
8,pos 9,15-Oct
9,pos 10,15-Oct
10,pos 11,14-Oct
11,pos 12,8-Sep
12,pos 13,8-Sep
13,pos 14,30-Aug
14,pos 15,3-Sep
15,pos 16,27-Aug
16,pos 17,3-Sep
17,pos 18,8-Sep
18,pos 19,8-Sep
19,pos 20,15-Oct
20,pos 21,19-Oct
21,pos 22,15-Oct
22,pos 23,19-Oct
23,pos 24,16-Oct
24,pos 25,19-Oct
25,pos 26,15-Oct
26,pos 27,19-Oct
27,pos 28,19-Oct
28,pos 29,19-Oct
29,pos 30,15-Oct
30,Neg 1,11-Sep
31,Neg 2,14-Sep
32,Neg 3,11-Sep
33,Neg 4,11-Sep
34,Neg 5,10-Sep
35,Neg 6,10-Sep
36,Neg 7,11-Sep
37,Neg 8,14-Sep
38,Neg 9,11-Sep
39,Neg 10,9-Sep
40,Neg 11,5-Oct
41,Neg 12,14-Oct
42,Neg 13,14-Sep
43,Neg 14,10-Sep
44,Neg 15,14-Sep
45,Neg 16,14-Sep
46,Neg 17,11-Sep
47,Neg 18,6-Sep
48,Neg 19,8-Sep
49,Neg 20,14-Sep
50,Neg 21,8-Sep
51,Neg 22,14-Sep
52,Neg 23,8-Sep
53,Neg 24,22-Oct
54,Neg 25,3-Sep
55,Neg 26,6-Sep
56,Neg 27,6-Sep
57,Neg 28,9-Sep
58,Neg 29,6-Sep
59,Neg 30,10-Sep
