,0,1,2,3,4,5,6,label,sub_label,file_path
0,153306.21279761905,88036.86766666666,11462331.119791668,269510655.66715276,359785.85833333334,356356.38361111115,23536433.53708333,uic,PCR_Negative,uic/PCR_Negative/Neg S80_IC.txt
1,487523.99497023807,290104.5468333333,812382.7056666665,872982.2828472222,13664305.0375,77992.12888888888,45642.174999999996,uic,PCR_Negative,uic/PCR_Negative/Neg S87_IC.txt
2,605950.6057738095,2386362.1682777773,6531597.948166667,161873984.00694442,1314061.8005555554,828371.2047222222,3407837.634166667,uic,PCR_Negative,uic/PCR_Negative/Neg S16_IC.txt
3,476275.38270833326,1769578.9735,1016617.9725833333,1126247.4300694447,32042.55694444444,20962.885277777776,19435.88138888889,uic,PCR_Negative,uic/PCR_Negative/Neg S94_IC.txt
4,90187.06266369048,398072.9471666667,11098706.05025,251858380.0829861,4426820.777222223,473687.97958333325,6862049.098749999,uic,PCR_Negative,uic/PCR_Negative/Neg S92_IC.txt
5,1023517.5288244047,2868588.631,2024173.6642083332,64204265.56194445,459612.6280555556,246584.87430555554,516861.94069444446,uic,PCR_Negative,uic/PCR_Negative/Neg S11_IC.txt
6,410814.70636904764,382115.90327777783,4198959.065291666,79963980.0175,107881.76222222223,94724.53277777777,343326.67791666667,uic,PCR_Negative,uic/PCR_Negative/Neg S18_IC.txt
7,711758.3771130953,468721.775,4363374.822125,99872071.41194443,299502.71,253304.8997222222,1191246.194583333,uic,PCR_Negative,uic/PCR_Negative/Neg S90_IC.txt
8,48476.918541666666,213048.38966666666,5165687.799208334,133703142.34680554,177517.31652777776,181843.6675,4181633.2716666665,uic,PCR_Negative,uic/PCR_Negative/Neg S84_IC.txt
9,246786.6155952381,101120.57183333335,20623758.83045833,414409003.3531944,572125.4647222222,550230.1808333332,33667941.20125,uic,PCR_Negative,uic/PCR_Negative/Neg S89_IC.txt
10,2124127.986532738,3018958.967666667,755172.8149583333,22520813.268611107,106464.75333333334,58074.68069444444,80226.38263888888,uic,PCR_Negative,uic/PCR_Negative/Neg S25_IC.txt
11,32780.449791666666,42051.20044444443,13027937.323166667,295623116.3758334,430206.5225,362747.7530555555,22138138.71138889,uic,PCR_Negative,uic/PCR_Negative/Neg S12_IC.txt
12,318952.4278571428,313284.42158333334,9633184.938416665,215506852.04340276,494608.4705555555,472216.0997222222,14003937.258194443,uic,PCR_Negative,uic/PCR_Negative/Neg S17_IC.txt
13,112858.28144345236,2057585.9103333338,8696087.584666666,227036447.32437497,191130.20527777774,334057.8044444444,2193156.4341666666,uic,PCR_Negative,uic/PCR_Negative/Neg S82_IC.txt
14,132003.21918154764,62205.920666666665,11388107.351375,270642371.40736115,512271.644375,433101.0527777777,19518181.507916663,uic,PCR_Negative,uic/PCR_Negative/Neg S83_IC.txt
15,47671.87686011905,80562.93016666667,14124627.27625,303950880.28090274,651479.8194444444,435368.6134722222,23262691.262499996,uic,PCR_Negative,uic/PCR_Negative/Neg S96_IC.txt
16,7309.872529761903,3253.3461666666667,305256.4614583333,220070.4661111111,4935.866944444444,3235.9297222222226,4900.956805555555,uic,PCR_Negative,uic/PCR_Negative/Neg S95_IC.txt
17,56555.9053125,298699.74433333334,9769340.335416667,238236322.54868057,503580.6205555555,298357.2452777777,4418909.505,uic,PCR_Negative,uic/PCR_Negative/Neg S88_IC.txt
18,53967.882485119044,97714.94944444443,19528694.13779167,390536665.60437495,478536.5213888889,699597.2411111111,45925150.336111106,uic,PCR_Negative,uic/PCR_Negative/Neg S13_IC.txt
19,28979.676532738093,19082.980916666664,5195433.013375,171545486.61597222,200708.44083333333,159841.87111111113,8544079.634444444,uic,PCR_Negative,uic/PCR_Negative/Neg S14_IC.txt
20,443677.82727678574,462721.13833333337,9649713.055916665,228573782.90937498,987621.1688888887,407064.80222222226,4205297.116250001,uic,PCR_Negative,uic/PCR_Negative/Neg S85_IC.txt
21,74427.9490029762,1869140.869833333,3672133.375833333,103667177.22451387,3779982.5263888887,244447.1397222222,315988.5081944444,uic,PCR_Negative,uic/PCR_Negative/Neg S93_IC.txt
22,92638.9997767857,1872713.3531666663,2705266.564625,65418242.480277784,1225054.5358333332,256147.4363888889,324453.51583333337,uic,PCR_Negative,uic/PCR_Negative/Neg S81_IC.txt
23,271180.93513392855,571758.6519166667,4202222.3977500005,106304285.43576388,571193.411111111,208677.34444444443,651828.1365277776,uic,PCR_Negative,uic/PCR_Negative/Neg S15_IC.txt
24,27379.231934523807,41500.52433333333,16071116.562958332,320511281.6042361,266707.76166666666,243054.26666666666,17075988.5275,uic,PCR_Negative,uic/PCR_Negative/Neg S86_IC.txt
25,69075.85424107143,73304.05866666666,22735255.748458333,442268644.26958334,420315.4902777778,406608.4651388889,30454247.770972222,uic,PCR_Negative,uic/PCR_Negative/Neg S91_IC.txt
26,4390993.0356250005,5083371.8933333345,875478.2055416666,4365169.826111111,188220.48833333334,99609.71027777778,71338.36472222222,uic,PCR_Negative,uic/PCR_Negative/Neg S26_IC.txt
27,331310.61879464285,1535649.4968333335,24817976.95875,436807037.7845139,2486113.2356944443,2568769.975,22720169.60333333,uic,PCR_Negative,uic/PCR_Negative/Neg S79_IC.txt
28,1314186.6788095238,1413553.8221666669,2335183.0854166667,68472153.01152778,603851.5494444444,246201.76222222223,599173.41125,uic,PCR_Negative,uic/PCR_Negative/Neg S19_IC.txt
29,201067.18032738095,1111875.408138889,20742348.485124998,382205244.44020826,970169.0625,805824.2079166666,8746428.787222223,PCR_Positive,Inconclusive,uic/PCR_Positive/Inconclusive/Pos S48_IC.txt
