,0,1,2,3,4,5,6,label,sub_label,file_path
0,171471.96256217742,88294.90332324483,11462489.801792726,269502359.6347201,359961.96883005137,356440.1280103227,23535448.671702765,uic,PCR_Negative,uic/PCR_Negative/Neg S80_IC.txt
1,515795.6861727861,290812.0877225441,812669.3219527053,873041.7935717206,13664473.08878461,78019.41398731871,45646.09780275755,uic,PCR_Negative,uic/PCR_Negative/Neg S87_IC.txt
2,650756.9947493871,2392449.638369137,6531170.191062385,161871096.87973315,1314046.046331315,828492.2678430551,3407763.0871543,uic,PCR_Negative,uic/PCR_Negative/Neg S16_IC.txt
3,514523.94131216686,1772245.3942133219,1016944.9468883486,1126249.4225491607,32065.851403836125,20966.970531249935,19436.857147734394,uic,PCR_Negative,uic/PCR_Negative/Neg S94_IC.txt
4,96247.53623503337,398790.8246624535,11095793.921584556,251851906.11915112,4426979.471939459,473806.5756168994,6861719.9947299175,uic,PCR_Negative,uic/PCR_Negative/Neg S92_IC.txt
5,1132496.1239009162,2874346.2789661502,2024112.1702015894,64203847.86219485,459763.31356876116,246631.15382245305,516836.04953986115,uic,PCR_Negative,uic/PCR_Negative/Neg S11_IC.txt
6,443742.7671884823,383314.3071182001,4199182.1347145075,79964560.86502023,107936.75799419182,94739.65343472197,343346.8304403982,uic,PCR_Negative,uic/PCR_Negative/Neg S18_IC.txt
7,756022.6550313403,469711.4951450445,4363541.775564983,99870878.19110797,299639.95202828373,253402.7479398778,1191211.502983254,uic,PCR_Negative,uic/PCR_Negative/Neg S90_IC.txt
8,52187.73126987071,213619.51093881368,5165380.017762896,133697082.5147061,177559.52473207092,181880.98421096185,4181401.730760043,uic,PCR_Negative,uic/PCR_Negative/Neg S84_IC.txt
9,253352.09541770897,101358.7200725,20619213.532080144,414400777.92030656,572318.5617297991,550403.9556067631,33667739.03110438,uic,PCR_Negative,uic/PCR_Negative/Neg S89_IC.txt
10,2350607.904204979,3024810.12199941,755276.7857264963,22520187.51904743,106482.94128125471,58085.44671811002,80217.67370366817,uic,PCR_Negative,uic/PCR_Negative/Neg S25_IC.txt
11,34474.89461602707,42152.29868557004,13024971.118265742,295618491.4503849,430429.2925623731,362806.8780768512,22137780.65624684,uic,PCR_Negative,uic/PCR_Negative/Neg S12_IC.txt
12,348790.70419360755,314035.16963295947,9631081.015493248,215502021.9304326,494761.9874803011,472281.17937939795,14003258.243822673,uic,PCR_Negative,uic/PCR_Negative/Neg S17_IC.txt
13,121961.59524358656,2062516.9267390184,8697451.984150518,227036147.8677727,191192.50933257578,334145.21834747924,2193191.500976245,uic,PCR_Negative,uic/PCR_Negative/Neg S82_IC.txt
14,135796.52346025166,62313.1239497802,11386949.577735923,270638331.6707012,512427.82886161667,433191.0584891577,19518398.275612883,uic,PCR_Negative,uic/PCR_Negative/Neg S83_IC.txt
15,50629.57432248483,80722.73111787222,14122572.605421243,303940435.6406649,651786.135508111,435470.24095810263,23261481.48990136,uic,PCR_Negative,uic/PCR_Negative/Neg S96_IC.txt
16,7616.8361162092315,3263.6133464035042,305404.02045570005,220087.80629126244,4935.319280869347,3236.8077319444546,4901.603710609432,uic,PCR_Negative,uic/PCR_Negative/Neg S95_IC.txt
17,59337.55328058381,299331.26488885947,9767804.105601856,238229041.80654693,503745.0706252535,298471.59857079573,4418868.41155798,uic,PCR_Negative,uic/PCR_Negative/Neg S88_IC.txt
18,56913.58073525854,97976.44888800404,19523803.95524767,390527906.0469508,478775.58487499855,699717.0363194438,45923883.81817706,uic,PCR_Negative,uic/PCR_Negative/Neg S13_IC.txt
19,30710.673774360268,19136.107933881514,5194170.860837797,171543023.72372007,200788.34162272714,159872.22792037032,8544161.328843042,uic,PCR_Negative,uic/PCR_Negative/Neg S14_IC.txt
20,464751.4628374836,463534.7676214699,9648841.487536151,228566537.33225402,987855.2248315669,407200.3140700315,4205191.484175227,uic,PCR_Negative,uic/PCR_Negative/Neg S85_IC.txt
21,79932.36710737686,1871148.1398119398,3672177.636712267,103665519.14751567,3780215.2077451805,244511.51999328667,315986.38247048826,uic,PCR_Negative,uic/PCR_Negative/Neg S93_IC.txt
22,100738.06785127975,1877028.3385117385,2705791.6949540447,65417808.606499076,1225223.3271409092,256205.87389778983,324462.5722566636,uic,PCR_Negative,uic/PCR_Negative/Neg S81_IC.txt
23,287149.95441411407,573121.0904725421,4201965.91083565,106302169.53757207,571217.658358839,208691.32527407404,651812.6057552098,uic,PCR_Negative,uic/PCR_Negative/Neg S15_IC.txt
24,28779.153193497063,41623.069375613835,16070187.631938549,320501972.497928,266846.98191363725,243132.5467595034,17075691.308743183,uic,PCR_Negative,uic/PCR_Negative/Neg S86_IC.txt
25,73666.7888183653,73493.31620081082,22730018.73900829,442259536.9909852,420495.7170113588,406685.9448819447,30453310.092777286,uic,PCR_Negative,uic/PCR_Negative/Neg S91_IC.txt
26,4841359.864581146,5094913.451401445,875878.5239658911,4365105.468204668,188270.4664410642,99629.56121154747,71345.3085155295,uic,PCR_Negative,uic/PCR_Negative/Neg S26_IC.txt
27,355534.8086192198,1539760.3657793733,24819970.171016973,436802806.757595,2487164.9944179314,2569348.459151105,22720534.20727921,uic,PCR_Negative,uic/PCR_Negative/Neg S79_IC.txt
28,1402923.394755831,1416788.781328088,2335142.5893866587,68471759.39794314,603896.7451848481,246234.38016898188,599189.3064375346,uic,PCR_Negative,uic/PCR_Negative/Neg S19_IC.txt
